[2024-11-15 10:21:12]	0.8.5	Nuevo winpush.ps1 ahora generaria CHANGELOG.txt --probando,...
[2024-11-15 10:21:32]	0.8.6	Automatic update
[2024-11-19 09:54:19]	0.8.8	Datatable CustomDataTable actualizado ahora permite definir el campo ID de las rows
[2024-11-28 13:14:24]	0.8.12	Soporte para parseo de opciones en clases Strings y Env
[2024-12-03 19:21:42]	0.8.14	Files::forceDownload() actualizada
[2024-12-05 00:14:13]	0.8.15	Automatic update
[2024-12-11 19:32:51]	0.8.16	DOC para funcion en lib Url
[2024-12-12 02:35:19]	0.8.17	Automatic update
[2024-12-12 11:53:23]	0.8.18	Automatic update
[2024-12-12 19:30:45]	0.8.19	Power Consumption utility
[2024-12-13 09:40:47]	0.8.20	TODO DOC
[2024-12-13 10:11:48]	0.8.21	Mejora en el Output de controladores
[2024-12-13 10:14:39]	0.8.22	Metodo de formateo de strings. Similar a var_dump()
[2024-12-13 10:22:48]	0.8.23	Clase Cli con formateador de salida usando colores ANSI de forma opcional
[2024-12-13 10:45:54]	0.8.24	Clase StdOut corregida y documentada
[2024-12-13 10:49:25]	0.8.25	Mas DOC sobre StdOut
[2024-12-13 11:15:01]	0.8.26	Logica necesaria mejorada en PowerConsumption
[2024-12-13 11:19:27]	0.8.27	PowerConsumption refactorizada
[2024-12-13 11:20:55]	0.8.28	PowerConsumption mejorada
[2024-12-13 11:22:56]	0.8.29	PowerConsumption mejorada
[2024-12-13 12:04:31]	0.8.30	Nueva funcion Request::isBrowser() y mejora para Strings::formatArrayOutput()
[2024-12-13 12:22:16]	0.8.31	Fix sobre FrontController. Ahora imprime bools en consola!
[2024-12-13 12:24:37]	0.8.32	DOC actualizada
